,county,candidate,party,votes,race name,state
0,Statewide,Betty T. Yee,DEM,"2,294,904",Controller,CA
1,Statewide,Konstantinos Roditis,REP,"1,321,334",Controller,CA
2,Statewide,Mary Lou Finley,P&F,"153,753",Controller,CA
3,Alameda,Betty T. Yee,DEM,"123,669",Controller,CA
4,Alameda,Konstantinos Roditis,REP,"26,402",Controller,CA
5,Alameda,Mary Lou Finley,P&F,"6,659",Controller,CA
6,Alpine,Betty T. Yee,DEM,239,Controller,CA
7,Alpine,Konstantinos Roditis,REP,107,Controller,CA
8,Alpine,Mary Lou Finley,P&F,11,Controller,CA
9,Amador,Betty T. Yee,DEM,"1,708",Controller,CA
10,Amador,Konstantinos Roditis,REP,"2,243",Controller,CA
11,Amador,Mary Lou Finley,P&F,199,Controller,CA
12,Butte,Betty T. Yee,DEM,"18,864",Controller,CA
13,Butte,Konstantinos Roditis,REP,"15,143",Controller,CA
14,Butte,Mary Lou Finley,P&F,"1,834",Controller,CA
15,Calaveras,Betty T. Yee,DEM,"3,855",Controller,CA
16,Calaveras,Konstantinos Roditis,REP,"4,585",Controller,CA
17,Calaveras,Mary Lou Finley,P&F,434,Controller,CA
18,Colusa,Betty T. Yee,DEM,"1,016",Controller,CA
19,Colusa,Konstantinos Roditis,REP,"1,292",Controller,CA
20,Colusa,Mary Lou Finley,P&F,98,Controller,CA
21,Contra Costa,Betty T. Yee,DEM,"72,621",Controller,CA
22,Contra Costa,Konstantinos Roditis,REP,"27,326",Controller,CA
23,Contra Costa,Mary Lou Finley,P&F,"4,662",Controller,CA
24,Del Norte,Betty T. Yee,DEM,"2,045",Controller,CA
25,Del Norte,Konstantinos Roditis,REP,"2,166",Controller,CA
26,Del Norte,Mary Lou Finley,P&F,229,Controller,CA
27,El Dorado,Betty T. Yee,DEM,"16,081",Controller,CA
28,El Dorado,Konstantinos Roditis,REP,"16,276",Controller,CA
29,El Dorado,Mary Lou Finley,P&F,"1,061",Controller,CA
30,Fresno,Betty T. Yee,DEM,"42,002",Controller,CA
31,Fresno,Konstantinos Roditis,REP,"34,160",Controller,CA
32,Fresno,Mary Lou Finley,P&F,"3,521",Controller,CA
33,Glenn,Betty T. Yee,DEM,"1,153",Controller,CA
34,Glenn,Konstantinos Roditis,REP,"2,013",Controller,CA
35,Glenn,Mary Lou Finley,P&F,165,Controller,CA
36,Humboldt,Betty T. Yee,DEM,"12,329",Controller,CA
37,Humboldt,Konstantinos Roditis,REP,"5,463",Controller,CA
38,Humboldt,Mary Lou Finley,P&F,"1,007",Controller,CA
39,Imperial,Betty T. Yee,DEM,"6,202",Controller,CA
40,Imperial,Konstantinos Roditis,REP,"3,420",Controller,CA
41,Imperial,Mary Lou Finley,P&F,"1,156",Controller,CA
42,Inyo,Betty T. Yee,DEM,"1,672",Controller,CA
43,Inyo,Konstantinos Roditis,REP,"1,617",Controller,CA
44,Inyo,Mary Lou Finley,P&F,206,Controller,CA
45,Kern,Betty T. Yee,DEM,"28,384",Controller,CA
46,Kern,Konstantinos Roditis,REP,"45,287",Controller,CA
47,Kern,Mary Lou Finley,P&F,"3,851",Controller,CA
48,Kings,Betty T. Yee,DEM,"5,210",Controller,CA
49,Kings,Konstantinos Roditis,REP,"7,053",Controller,CA
50,Kings,Mary Lou Finley,P&F,529,Controller,CA
51,Lake,Betty T. Yee,DEM,"4,215",Controller,CA
52,Lake,Konstantinos Roditis,REP,"2,933",Controller,CA
53,Lake,Mary Lou Finley,P&F,408,Controller,CA
54,Lassen,Betty T. Yee,DEM,"1,040",Controller,CA
