county,district name,candidate,party,votes,race name,state
Districtwide,District 1,Caleen Sisk,DEM,"15,117",State Assembly,CA
Districtwide,District 1,Peter Van Peborgh,DEM,"6,156",State Assembly,CA
Districtwide,District 1,Brian Dahle,REP,"42,981",State Assembly,CA
Districtwide,District 1,Jenny O Connell-Nowain,NPP,"2,008",State Assembly,CA
Butte,District 1,Caleen Sisk,DEM,938,State Assembly,CA
Butte,District 1,Peter Van Peborgh,DEM,408,State Assembly,CA
Butte,District 1,Brian Dahle,REP,"2,247",State Assembly,CA
Butte,District 1,Jenny O Connell-Nowain,NPP,123,State Assembly,CA
Lassen,District 1,Caleen Sisk,DEM,398,State Assembly,CA
Lassen,District 1,Peter Van Peborgh,DEM,137,State Assembly,CA
Lassen,District 1,Brian Dahle,REP,"2,537",State Assembly,CA
Lassen,District 1,Jenny O Connell-Nowain,NPP,48,State Assembly,CA
Modoc,District 1,Caleen Sisk,DEM,214,State Assembly,CA
Modoc,District 1,Peter Van Peborgh,DEM,127,State Assembly,CA
Modoc,District 1,Brian Dahle,REP,"1,725",State Assembly,CA
Modoc,District 1,Jenny O Connell-Nowain,NPP,48,State Assembly,CA
Nevada,District 1,Caleen Sisk,DEM,"4,819",State Assembly,CA
Nevada,District 1,Peter Van Peborgh,DEM,"1,606",State Assembly,CA
Nevada,District 1,Brian Dahle,REP,"8,217",State Assembly,CA
Nevada,District 1,Jenny O Connell-Nowain,NPP,440,State Assembly,CA
Placer,District 1,Caleen Sisk,DEM,"2,258",State Assembly,CA
Placer,District 1,Peter Van Peborgh,DEM,814,State Assembly,CA
Placer,District 1,Brian Dahle,REP,"4,951",State Assembly,CA
Placer,District 1,Jenny O Connell-Nowain,NPP,345,State Assembly,CA
Plumas,District 1,Caleen Sisk,DEM,"1,195",State Assembly,CA
Plumas,District 1,Peter Van Peborgh,DEM,470,State Assembly,CA
Plumas,District 1,Brian Dahle,REP,"3,296",State Assembly,CA
Plumas,District 1,Jenny O Connell-Nowain,NPP,114,State Assembly,CA
Shasta,District 1,Caleen Sisk,DEM,"3,219",State Assembly,CA
Shasta,District 1,Peter Van Peborgh,DEM,"1,783",State Assembly,CA
Shasta,District 1,Brian Dahle,REP,"14,932",State Assembly,CA
Shasta,District 1,Jenny O Connell-Nowain,NPP,533,State Assembly,CA
Sierra,District 1,Caleen Sisk,DEM,293,State Assembly,CA
Sierra,District 1,Peter Van Peborgh,DEM,79,State Assembly,CA
Sierra,District 1,Brian Dahle,REP,826,State Assembly,CA
Sierra,District 1,Jenny O Connell-Nowain,NPP,53,State Assembly,CA
Siskiyou,District 1,Caleen Sisk,DEM,"1,783",State Assembly,CA
Siskiyou,District 1,Peter Van Peborgh,DEM,732,State Assembly,CA
Siskiyou,District 1,Brian Dahle,REP,"4,250",State Assembly,CA
Siskiyou,District 1,Jenny O Connell-Nowain,NPP,304,State Assembly,CA
Districtwide,District 2,Jim Wood,DEM,"42,877",State Assembly,CA
Districtwide,District 2,Matt Heath,REP,"20,748",State Assembly,CA
Del Norte,District 2,Jim Wood,DEM,"2,018",State Assembly,CA
Del Norte,District 2,Matt Heath,REP,"2,424",State Assembly,CA
Humboldt,District 2,Jim Wood,DEM,"12,316",State Assembly,CA
Humboldt,District 2,Matt Heath,REP,"6,421",State Assembly,CA
Mendocino,District 2,Jim Wood,DEM,"6,173",State Assembly,CA
Mendocino,District 2,Matt Heath,REP,"2,811",State Assembly,CA
Sonoma,District 2,Jim Wood,DEM,"20,838",State Assembly,CA
Sonoma,District 2,Matt Heath,REP,"7,522",State Assembly,CA
Trinity,District 2,Jim Wood,DEM,"1,532",State Assembly,CA
Trinity,District 2,Matt Heath,REP,"1,570",State Assembly,CA
Districtwide,District 3,Sonia Aery,DEM,"22,401",State Assembly,CA
Districtwide,District 3,James Gallagher,REP,"40,810",State Assembly,CA
Butte,District 3,Sonia Aery,DEM,"14,114",State Assembly,CA
Butte,District 3,James Gallagher,REP,"18,385",State Assembly,CA
Colusa,District 3,Sonia Aery,DEM,326,State Assembly,CA
Colusa,District 3,James Gallagher,REP,"1,074",State Assembly,CA
Glenn,District 3,Sonia Aery,DEM,824,State Assembly,CA
Glenn,District 3,James Gallagher,REP,"2,552",State Assembly,CA
Sutter,District 3,Sonia Aery,DEM,"2,875",State Assembly,CA
Sutter,District 3,James Gallagher,REP,"7,251",State Assembly,CA
Tehama,District 3,Sonia Aery,DEM,"2,454",State Assembly,CA
Tehama,District 3,James Gallagher,REP,"6,985",State Assembly,CA
Yuba,District 3,Sonia Aery,DEM,"1,808",State Assembly,CA
Yuba,District 3,James Gallagher,REP,"4,563",State Assembly,CA
Districtwide,District 4,Cecilia Aguiar-Curry,DEM,"41,764",State Assembly,CA
Colusa,District 4,Cecilia Aguiar-Curry,DEM,669,State Assembly,CA
Lake,District 4,Cecilia Aguiar-Curry,DEM,"5,290",State Assembly,CA
Napa,District 4,Cecilia Aguiar-Curry,DEM,"10,207",State Assembly,CA
Solano,District 4,Cecilia Aguiar-Curry,DEM,"3,264",State Assembly,CA
Sonoma,District 4,Cecilia Aguiar-Curry,DEM,"6,555",State Assembly,CA
Yolo,District 4,Cecilia Aguiar-Curry,DEM,"15,779",State Assembly,CA
Districtwide,District 5,Carla J. Neal,DEM,"27,660",State Assembly,CA
Districtwide,District 5,Frank Bigelow,REP,"45,755",State Assembly,CA
Alpine,District 5,Carla J. Neal,DEM,214,State Assembly,CA
Alpine,District 5,Frank Bigelow,REP,143,State Assembly,CA
Amador,District 5,Carla J. Neal,DEM,"1,407",State Assembly,CA
Amador,District 5,Frank Bigelow,REP,"2,824",State Assembly,CA
Calaveras,District 5,Carla J. Neal,DEM,"3,208",State Assembly,CA
Calaveras,District 5,Frank Bigelow,REP,"5,710",State Assembly,CA
El Dorado,District 5,Carla J. Neal,DEM,"8,435",State Assembly,CA
El Dorado,District 5,Frank Bigelow,REP,"12,762",State Assembly,CA
Madera,District 5,Carla J. Neal,DEM,"5,615",State Assembly,CA
Madera,District 5,Frank Bigelow,REP,"12,010",State Assembly,CA
Mariposa,District 5,Carla J. Neal,DEM,"1,648",State Assembly,CA
Mariposa,District 5,Frank Bigelow,REP,"3,043",State Assembly,CA
Mono,District 5,Carla J. Neal,DEM,"1,506",State Assembly,CA
Mono,District 5,Frank Bigelow,REP,"1,329",State Assembly,CA
Placer,District 5,Carla J. Neal,DEM,"1,529",State Assembly,CA
Placer,District 5,Frank Bigelow,REP,"1,850",State Assembly,CA
Tuolumne,District 5,Carla J. Neal,DEM,"4,098",State Assembly,CA
Tuolumne,District 5,Frank Bigelow,REP,"6,084",State Assembly,CA
Districtwide,District 6,"Jacalyn ""Jackie"" Smith",DEM,"27,192",State Assembly,CA
Districtwide,District 6,Kevin Kiley,REP,"43,028",State Assembly,CA
El Dorado,District 6,"Jacalyn ""Jackie"" Smith",DEM,"4,316",State Assembly,CA
El Dorado,District 6,Kevin Kiley,REP,"7,443",State Assembly,CA
Placer,District 6,"Jacalyn ""Jackie"" Smith",DEM,"16,986",State Assembly,CA
Placer,District 6,Kevin Kiley,REP,"27,447",State Assembly,CA
Sacramento,District 6,"Jacalyn ""Jackie"" Smith",DEM,"5,890",State Assembly,CA
Sacramento,District 6,Kevin Kiley,REP,"8,138",State Assembly,CA
Districtwide,District 7,Kevin McCarty,DEM,"26,390",State Assembly,CA
Sacramento,District 7,Kevin McCarty,DEM,"22,693",State Assembly,CA
Yolo,District 7,Kevin McCarty,DEM,"3,697",State Assembly,CA
Sacramento,District 8,Ken Cooley,DEM,"22,255",State Assembly,CA
Sacramento,District 8,Melinda Avey,REP,"17,017",State Assembly,CA
