county,district name,candidate,party,votes,race name,state
Districtwide,Districtwide,Bob J. Archuleta,DEM,"9,534",State Senate District 32,CA
Districtwide,Districtwide,Rudy Bermudez,DEM,"3,570",State Senate District 32,CA
Districtwide,Districtwide,Vanessa Delgado,DEM,"13,050",State Senate District 32,CA
Districtwide,Districtwide,John Paul Drayer,DEM,893,State Senate District 32,CA
Districtwide,Districtwide,Darren Joseph Gendron,DEM,409,State Senate District 32,CA
Districtwide,Districtwide,Tony Mendoza,DEM,"11,600",State Senate District 32,CA
Districtwide,Districtwide,Vivian Romero,DEM,"3,504",State Senate District 32,CA
Districtwide,Districtwide,Vicky Santana,DEM,"5,256",State Senate District 32,CA
Districtwide,Districtwide,Ali S. Taj,DEM,"4,583",State Senate District 32,CA
Districtwide,Districtwide,Ion Sarega,REP,"7,413",State Senate District 32,CA
Districtwide,Districtwide,Rita Topalian,REP,"20,244",State Senate District 32,CA
Los Angeles,Districtwide,Bob J. Archuleta,DEM,"9,297",State Senate District 32,CA
Los Angeles,Districtwide,Rudy Bermudez,DEM,"3,401",State Senate District 32,CA
Los Angeles,Districtwide,Vanessa Delgado,DEM,"12,468",State Senate District 32,CA
Los Angeles,Districtwide,John Paul Drayer,DEM,824,State Senate District 32,CA
Los Angeles,Districtwide,Darren Joseph Gendron,DEM,387,State Senate District 32,CA
Los Angeles,Districtwide,Tony Mendoza,DEM,"10,967",State Senate District 32,CA
Los Angeles,Districtwide,Vivian Romero,DEM,"3,310",State Senate District 32,CA
Los Angeles,Districtwide,Vicky Santana,DEM,"4,953",State Senate District 32,CA
Los Angeles,Districtwide,Ali S. Taj,DEM,"4,261",State Senate District 32,CA
Los Angeles,Districtwide,Ion Sarega,REP,"6,912",State Senate District 32,CA
Los Angeles,Districtwide,Rita Topalian,REP,"18,813",State Senate District 32,CA
Orange,Districtwide,Bob J. Archuleta,DEM,237,State Senate District 32,CA
Orange,Districtwide,Rudy Bermudez,DEM,169,State Senate District 32,CA
Orange,Districtwide,Vanessa Delgado,DEM,582,State Senate District 32,CA
Orange,Districtwide,John Paul Drayer,DEM,69,State Senate District 32,CA
Orange,Districtwide,Darren Joseph Gendron,DEM,22,State Senate District 32,CA
Orange,Districtwide,Tony Mendoza,DEM,633,State Senate District 32,CA
Orange,Districtwide,Vivian Romero,DEM,194,State Senate District 32,CA
Orange,Districtwide,Vicky Santana,DEM,303,State Senate District 32,CA
Orange,Districtwide,Ali S. Taj,DEM,322,State Senate District 32,CA
Orange,Districtwide,Ion Sarega,REP,501,State Senate District 32,CA
Orange,Districtwide,Rita Topalian,REP,"1,431",State Senate District 32,CA
Districtwide,Los Angeles,Bob J. Archuleta,DEM,"9,534",State Senate District 32,CA
Districtwide,Los Angeles,Rudy Bermudez,DEM,"3,570",State Senate District 32,CA
Districtwide,Los Angeles,Vanessa Delgado,DEM,"13,050",State Senate District 32,CA
Districtwide,Los Angeles,John Paul Drayer,DEM,893,State Senate District 32,CA
Districtwide,Los Angeles,Darren Joseph Gendron,DEM,409,State Senate District 32,CA
Districtwide,Los Angeles,Tony Mendoza,DEM,"11,600",State Senate District 32,CA
Districtwide,Los Angeles,Vivian Romero,DEM,"3,504",State Senate District 32,CA
Districtwide,Los Angeles,Vicky Santana,DEM,"5,256",State Senate District 32,CA
Districtwide,Los Angeles,Ali S. Taj,DEM,"4,583",State Senate District 32,CA
