,county,candidate,party,votes,race name,state
0,Statewide,Fiona Ma,DEM,"1,633,648",Treasurer,CA
1,Statewide,Vivek Viswanathan,DEM,"482,290",Treasurer,CA
2,Statewide,Greg Conlon,REP,"832,700",Treasurer,CA
3,Statewide,Jack M. Guerrero,REP,"747,313",Treasurer,CA
4,Statewide,Kevin Akin,P&F,"84,508",Treasurer,CA
5,Alameda,Fiona Ma,DEM,"95,946",Treasurer,CA
6,Alameda,Vivek Viswanathan,DEM,"24,311",Treasurer,CA
7,Alameda,Greg Conlon,REP,"15,208",Treasurer,CA
8,Alameda,Jack M. Guerrero,REP,"16,300",Treasurer,CA
9,Alameda,Kevin Akin,P&F,"5,353",Treasurer,CA
10,Alpine,Fiona Ma,DEM,157,Treasurer,CA
11,Alpine,Vivek Viswanathan,DEM,46,Treasurer,CA
12,Alpine,Greg Conlon,REP,64,Treasurer,CA
13,Alpine,Jack M. Guerrero,REP,72,Treasurer,CA
14,Alpine,Kevin Akin,P&F,6,Treasurer,CA
15,Amador,Fiona Ma,DEM,"1,283",Treasurer,CA
16,Amador,Vivek Viswanathan,DEM,252,Treasurer,CA
17,Amador,Greg Conlon,REP,"1,211",Treasurer,CA
18,Amador,Jack M. Guerrero,REP,"1,361",Treasurer,CA
19,Amador,Kevin Akin,P&F,100,Treasurer,CA
20,Butte,Fiona Ma,DEM,"12,864",Treasurer,CA
21,Butte,Vivek Viswanathan,DEM,"3,378",Treasurer,CA
22,Butte,Greg Conlon,REP,"10,002",Treasurer,CA
23,Butte,Jack M. Guerrero,REP,"8,449",Treasurer,CA
24,Butte,Kevin Akin,P&F,802,Treasurer,CA
25,Calaveras,Fiona Ma,DEM,"2,871",Treasurer,CA
26,Calaveras,Vivek Viswanathan,DEM,573,Treasurer,CA
27,Calaveras,Greg Conlon,REP,"2,668",Treasurer,CA
28,Calaveras,Jack M. Guerrero,REP,"2,617",Treasurer,CA
29,Calaveras,Kevin Akin,P&F,231,Treasurer,CA
30,Colusa,Fiona Ma,DEM,696,Treasurer,CA
31,Colusa,Vivek Viswanathan,DEM,138,Treasurer,CA
32,Colusa,Greg Conlon,REP,935,Treasurer,CA
33,Colusa,Jack M. Guerrero,REP,632,Treasurer,CA
34,Colusa,Kevin Akin,P&F,51,Treasurer,CA
35,Contra Costa,Fiona Ma,DEM,"55,297",Treasurer,CA
36,Contra Costa,Vivek Viswanathan,DEM,"17,571",Treasurer,CA
37,Contra Costa,Greg Conlon,REP,"19,596",Treasurer,CA
38,Contra Costa,Jack M. Guerrero,REP,"18,665",Treasurer,CA
39,Contra Costa,Kevin Akin,P&F,"2,320",Treasurer,CA
40,Del Norte,Fiona Ma,DEM,"1,466",Treasurer,CA
41,Del Norte,Vivek Viswanathan,DEM,308,Treasurer,CA
42,Del Norte,Greg Conlon,REP,"1,177",Treasurer,CA
43,Del Norte,Jack M. Guerrero,REP,"1,242",Treasurer,CA
44,Del Norte,Kevin Akin,P&F,135,Treasurer,CA
45,El Dorado,Fiona Ma,DEM,"10,966",Treasurer,CA
46,El Dorado,Vivek Viswanathan,DEM,"2,891",Treasurer,CA
