county,candidate,party,votes,state,race name
Statewide,Kevin De Leon,DEM,"435,639",CA,U.S. Senate
Statewide,Adrienne Nicole Edwards,DEM,"32,175",CA,U.S. Senate
Statewide,Dianne Feinstein,DEM,"1,694,819",CA,U.S. Senate
Statewide,Pat Harris,DEM,"72,780",CA,U.S. Senate
Statewide,Alison Hartson,DEM,"76,418",CA,U.S. Senate
Statewide,David Hildebrand,DEM,"17,455",CA,U.S. Senate
Statewide,Herbert G. Peters,DEM,"16,571",CA,U.S. Senate
Statewide,Douglas Howard Pierce,DEM,"25,360",CA,U.S. Senate
Statewide,Gerald Plummer,DEM,"11,265",CA,U.S. Senate
Statewide,Donnie O. Turner,DEM,"18,606",CA,U.S. Senate
Statewide,Arun K. Bhumitra,REP,"206,494",CA,U.S. Senate
Statewide,James P Bradley,REP,"340,669",CA,U.S. Senate
Statewide,"John ""Jack"" Crew",REP,"58,730",CA,U.S. Senate
Statewide,Erin Cruz,REP,"157,128",CA,U.S. Senate
Statewide,"Roque ""Rocky"" De La Fuente",REP,"85,160",CA,U.S. Senate
Statewide,Jerry Joseph Laws,REP,"43,331",CA,U.S. Senate
Statewide,Patrick Little,REP,"54,507",CA,U.S. Senate
Statewide,Kevin Mottus,REP,"53,631",CA,U.S. Senate
Statewide,Mario Nabliba,REP,"24,687",CA,U.S. Senate
Statewide,Tom Palzer,REP,"118,414",CA,U.S. Senate
Statewide,Paul A Taylor,REP,"198,037",CA,U.S. Senate
Statewide,Derrick Michael Reid,LIB,"33,552",CA,U.S. Senate
Statewide,John Thompson Parker,P&F,"12,463",CA,U.S. Senate
Statewide,Colleen Shea Fernald,NPP,"8,318",CA,U.S. Senate
Statewide,Rash Bihari Ghosh,NPP,"6,933",CA,U.S. Senate
Statewide,Tim Gildersleeve,NPP,"4,942",CA,U.S. Senate
Statewide,Michael Fahmy Girgis,NPP,"1,880",CA,U.S. Senate
Statewide,Don J. Grundmann,NPP,"8,829",CA,U.S. Senate
Statewide,Jason M. Hanania,NPP,"10,215",CA,U.S. Senate
Statewide,David Moore,NPP,"14,397",CA,U.S. Senate
Statewide,Lee Olson,NPP,"12,303",CA,U.S. Senate
Statewide,Ling Ling Shi,NPP,"14,134",CA,U.S. Senate
Alameda,Kevin De Leon,DEM,"27,403",CA,U.S. Senate
Alameda,Adrienne Nicole Edwards,DEM,"1,944",CA,U.S. Senate
Alameda,Dianne Feinstein,DEM,"94,631",CA,U.S. Senate
Alameda,Pat Harris,DEM,"4,044",CA,U.S. Senate
Alameda,Alison Hartson,DEM,"3,522",CA,U.S. Senate
Alameda,David Hildebrand,DEM,867,CA,U.S. Senate
Alameda,Herbert G. Peters,DEM,299,CA,U.S. Senate
Alameda,Douglas Howard Pierce,DEM,559,CA,U.S. Senate
Alameda,Gerald Plummer,DEM,256,CA,U.S. Senate
Alameda,Donnie O. Turner,DEM,792,CA,U.S. Senate
Alameda,Arun K. Bhumitra,REP,"3,711",CA,U.S. Senate
Alameda,James P Bradley,REP,"4,730",CA,U.S. Senate
Alameda,"John ""Jack"" Crew",REP,827,CA,U.S. Senate
Alameda,Erin Cruz,REP,"3,956",CA,U.S. Senate
Alameda,"Roque ""Rocky"" De La Fuente",REP,"1,950",CA,U.S. Senate
Alameda,Jerry Joseph Laws,REP,563,CA,U.S. Senate
Alameda,Patrick Little,REP,758,CA,U.S. Senate
Alameda,Kevin Mottus,REP,"1,335",CA,U.S. Senate
Alameda,Mario Nabliba,REP,659,CA,U.S. Senate
Alameda,Tom Palzer,REP,"1,589",CA,U.S. Senate
Alameda,Paul A Taylor,REP,"5,607",CA,U.S. Senate
Alameda,Derrick Michael Reid,LIB,"1,238",CA,U.S. Senate
Alameda,John Thompson Parker,P&F,718,CA,U.S. Senate
Alameda,Colleen Shea Fernald,NPP,466,CA,U.S. Senate
Alameda,Rash Bihari Ghosh,NPP,322,CA,U.S. Senate
Alameda,Tim Gildersleeve,NPP,119,CA,U.S. Senate
Alameda,Michael Fahmy Girgis,NPP,34,CA,U.S. Senate
Alameda,Don J. Grundmann,NPP,203,CA,U.S. Senate
Alameda,Jason M. Hanania,NPP,496,CA,U.S. Senate
Alameda,David Moore,NPP,471,CA,U.S. Senate
Alameda,Lee Olson,NPP,554,CA,U.S. Senate
Alameda,Ling Ling Shi,NPP,677,CA,U.S. Senate
Alpine,Kevin De Leon,DEM,25,CA,U.S. Senate
Alpine,Adrienne Nicole Edwards,DEM,4,CA,U.S. Senate
Alpine,Dianne Feinstein,DEM,182,CA,U.S. Senate
Alpine,Pat Harris,DEM,7,CA,U.S. Senate
Alpine,Alison Hartson,DEM,9,CA,U.S. Senate
Alpine,David Hildebrand,DEM,2,CA,U.S. Senate
Alpine,Herbert G. Peters,DEM,2,CA,U.S. Senate
Alpine,Douglas Howard Pierce,DEM,2,CA,U.S. Senate
Alpine,Gerald Plummer,DEM,0,CA,U.S. Senate
Alpine,Donnie O. Turner,DEM,2,CA,U.S. Senate
Alpine,Arun K. Bhumitra,REP,4,CA,U.S. Senate
Alpine,James P Bradley,REP,35,CA,U.S. Senate
Alpine,"John ""Jack"" Crew",REP,8,CA,U.S. Senate
Alpine,Erin Cruz,REP,16,CA,U.S. Senate
Alpine,"Roque ""Rocky"" De La Fuente",REP,6,CA,U.S. Senate
Alpine,Jerry Joseph Laws,REP,5,CA,U.S. Senate
Alpine,Patrick Little,REP,4,CA,U.S. Senate
Alpine,Kevin Mottus,REP,7,CA,U.S. Senate
Alpine,Mario Nabliba,REP,2,CA,U.S. Senate
Alpine,Tom Palzer,REP,8,CA,U.S. Senate
Alpine,Paul A Taylor,REP,12,CA,U.S. Senate
Alpine,Derrick Michael Reid,LIB,3,CA,U.S. Senate
Alpine,John Thompson Parker,P&F,0,CA,U.S. Senate
Alpine,Colleen Shea Fernald,NPP,0,CA,U.S. Senate
Alpine,Rash Bihari Ghosh,NPP,0,CA,U.S. Senate
Alpine,Tim Gildersleeve,NPP,0,CA,U.S. Senate
Alpine,Michael Fahmy Girgis,NPP,0,CA,U.S. Senate
Alpine,Don J. Grundmann,NPP,3,CA,U.S. Senate
Alpine,Jason M. Hanania,NPP,0,CA,U.S. Senate
Alpine,David Moore,NPP,0,CA,U.S. Senate
Alpine,Lee Olson,NPP,0,CA,U.S. Senate
Alpine,Ling Ling Shi,NPP,2,CA,U.S. Senate
Amador,Kevin De Leon,DEM,225,CA,U.S. Senate
Amador,Adrienne Nicole Edwards,DEM,26,CA,U.S. Senate
Amador,Dianne Feinstein,DEM,"1,200",CA,U.S. Senate
Amador,Pat Harris,DEM,53,CA,U.S. Senate
Amador,Alison Hartson,DEM,75,CA,U.S. Senate
Amador,David Hildebrand,DEM,13,CA,U.S. Senate
Amador,Herbert G. Peters,DEM,42,CA,U.S. Senate
Amador,Douglas Howard Pierce,DEM,20,CA,U.S. Senate
Amador,Gerald Plummer,DEM,8,CA,U.S. Senate
Amador,Donnie O. Turner,DEM,24,CA,U.S. Senate
Amador,Arun K. Bhumitra,REP,332,CA,U.S. Senate
Amador,James P Bradley,REP,769,CA,U.S. Senate
Amador,"John ""Jack"" Crew",REP,143,CA,U.S. Senate
Amador,Erin Cruz,REP,274,CA,U.S. Senate
Amador,"Roque ""Rocky"" De La Fuente",REP,96,CA,U.S. Senate
Amador,Jerry Joseph Laws,REP,100,CA,U.S. Senate
Amador,Patrick Little,REP,92,CA,U.S. Senate
Amador,Kevin Mottus,REP,75,CA,U.S. Senate
Amador,Mario Nabliba,REP,22,CA,U.S. Senate
Amador,Tom Palzer,REP,116,CA,U.S. Senate
Amador,Paul A Taylor,REP,280,CA,U.S. Senate
Amador,Derrick Michael Reid,LIB,45,CA,U.S. Senate
Amador,John Thompson Parker,P&F,37,CA,U.S. Senate
Amador,Colleen Shea Fernald,NPP,19,CA,U.S. Senate
Amador,Rash Bihari Ghosh,NPP,3,CA,U.S. Senate
Amador,Tim Gildersleeve,NPP,8,CA,U.S. Senate
Amador,Michael Fahmy Girgis,NPP,0,CA,U.S. Senate
Amador,Don J. Grundmann,NPP,21,CA,U.S. Senate
Amador,Jason M. Hanania,NPP,14,CA,U.S. Senate
Amador,David Moore,NPP,16,CA,U.S. Senate
Amador,Lee Olson,NPP,17,CA,U.S. Senate
Amador,Ling Ling Shi,NPP,7,CA,U.S. Senate
Butte,Kevin De Leon,DEM,"2,710",CA,U.S. Senate
Butte,Adrienne Nicole Edwards,DEM,304,CA,U.S. Senate
Butte,Dianne Feinstein,DEM,"12,465",CA,U.S. Senate
Butte,Pat Harris,DEM,564,CA,U.S. Senate
Butte,Alison Hartson,DEM,"1,033",CA,U.S. Senate
Butte,David Hildebrand,DEM,177,CA,U.S. Senate
