"","JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"1",6,0,"BUREAU",0,"",0,"","CLARION",258,0,"",53
"2",6,0,"BUREAU",0,"",0,"","LA MOILLE 1",574,0,"",149
"3",6,0,"BUREAU",0,"",0,"","LA MOILLE 2",187,0,"",52
"4",6,0,"BUREAU",0,"",0,"","OHIO 1",417,0,"",81
"5",6,0,"BUREAU",0,"",0,"","OHIO 2",147,0,"",50
"6",6,0,"BUREAU",0,"",0,"","WALNUT 1",613,0,"",316
"7",6,0,"BUREAU",0,"",0,"","WALNUT 2",578,0,"",300
"8",6,0,"BUREAU",0,"",0,"","GREENVILLE",247,0,"",123
"9",6,0,"BUREAU",0,"",0,"","FAIRFIELD",150,0,"",46
"10",6,0,"BUREAU",0,"",0,"","WESTFIELD 1",224,0,"",68
"11",6,0,"BUREAU",0,"",0,"","WESTFIELD 2",453,0,"",139
"12",6,0,"BUREAU",0,"",0,"","BERLIN",527,0,"",131
"13",6,0,"BUREAU",0,"",0,"","DOVER",424,0,"",156
"14",6,0,"BUREAU",0,"",0,"","BUREAU",207,0,"",92
"15",6,0,"BUREAU",0,"",0,"","MANLIUS",430,0,"",227
"16",6,0,"BUREAU",0,"",0,"","GOLD",124,0,"",54
"17",6,0,"BUREAU",0,"",0,"","HALL 1",458,0,"",75
"18",6,0,"BUREAU",0,"",0,"","HALL 2",558,0,"",128
"19",6,0,"BUREAU",0,"",0,"","HALL 3",814,0,"",188
"20",6,0,"BUREAU",0,"",0,"","HALL 4",395,0,"",112
"21",6,0,"BUREAU",0,"",0,"","HALL 5",394,0,"",100
"22",6,0,"BUREAU",0,"",0,"","HALL 6",761,0,"",204
"23",6,0,"BUREAU",0,"",0,"","HALL 7",521,0,"",145
"24",6,0,"BUREAU",0,"",0,"","HALL 8",693,0,"",151
"25",6,0,"BUREAU",0,"",0,"","HALL 9",550,0,"",139
"26",6,0,"BUREAU",0,"",0,"","HALL 10",443,0,"",113
