"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHERRY GROVE-SHANNON 1","433","12","Republican","68"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHERRY GROVE-SHANNON 2","630","12","Republican","90"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","ELKHORN GROVE","162","12","Republican","21"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","FAIR HAVEN","564","12","Republican","64"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","FREEDOM","610","12","Republican","78"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","MT CARROLL 1","416","12","Republican","56"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","MT CARROLL 2","677","12","Republican","106"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","MT CARROLL 3","391","12","Republican","53"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","ROCK CREEK-LIMA 1","663","12","Republican","61"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","ROCK CREEK-LIMA 2","745","12","Republican","79"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","SALEM","266","12","Republican","34"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","SAVANNA 1","303","12","Republican","22"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","SAVANNA 2","250","12","Republican","21"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","SAVANNA 3","264","12","Republican","16"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","SAVANNA 4","437","12","Republican","37"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","SAVANNA 5","389","12","Republican","63"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","SAVANNA 6","611","12","Republican","46"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","WASHINGTON","259","12","Republican","32"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","WOODLAND","217","12","Republican","44"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","WYSOX 1","531","12","Republican","44"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","WYSOX 2","383","12","Republican","28"
"8","0","CARROLL","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","YORK","1248","12","Republican","177"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","CHERRY GROVE-SHANNON 1","433","12","Republican","52"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","CHERRY GROVE-SHANNON 2","630","12","Republican","92"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","ELKHORN GROVE","162","12","Republican","19"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","FAIR HAVEN","564","12","Republican","46"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","FREEDOM","610","12","Republican","72"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","MT CARROLL 1","416","12","Republican","47"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","MT CARROLL 2","677","12","Republican","76"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","MT CARROLL 3","391","12","Republican","35"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","ROCK CREEK-LIMA 1","663","12","Republican","61"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","ROCK CREEK-LIMA 2","745","12","Republican","64"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","SALEM","266","12","Republican","29"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","SAVANNA 1","303","12","Republican","21"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","SAVANNA 2","250","12","Republican","21"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","SAVANNA 3","264","12","Republican","10"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","SAVANNA 4","437","12","Republican","37"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","SAVANNA 5","389","12","Republican","47"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","SAVANNA 6","611","12","Republican","37"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","WASHINGTON","259","12","Republican","32"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","WOODLAND","217","12","Republican","30"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","WYSOX 1","531","12","Republican","40"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","WYSOX 2","383","12","Republican","21"
"8","0","CARROLL","145","ERIKA HAROLD","190","ATTORNEY GENERAL","YORK","1248","12","Republican","137"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","CHERRY GROVE-SHANNON 1","433","12","Republican","103"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","CHERRY GROVE-SHANNON 2","630","12","Republican","152"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","ELKHORN GROVE","162","12","Republican","32"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","FAIR HAVEN","564","12","Republican","89"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","FREEDOM","610","12","Republican","124"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","MT CARROLL 1","416","12","Republican","72"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","MT CARROLL 2","677","12","Republican","138"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","MT CARROLL 3","391","12","Republican","65"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","ROCK CREEK-LIMA 1","663","12","Republican","108"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","ROCK CREEK-LIMA 2","745","12","Republican","121"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","SALEM","266","12","Republican","52"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","SAVANNA 1","303","12","Republican","31"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","SAVANNA 2","250","12","Republican","27"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","SAVANNA 3","264","12","Republican","20"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","SAVANNA 4","437","12","Republican","61"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","SAVANNA 5","389","12","Republican","76"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","SAVANNA 6","611","12","Republican","56"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","WASHINGTON","259","12","Republican","54"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","WOODLAND","217","12","Republican","69"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","WYSOX 1","531","12","Republican","69"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","WYSOX 2","383","12","Republican","44"
"8","0","CARROLL","195","JASON HELLAND","200","SECRETARY OF STATE","YORK","1248","12","Republican","227"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","CHERRY GROVE-SHANNON 1","433","12","Republican","101"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","CHERRY GROVE-SHANNON 2","630","12","Republican","152"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","ELKHORN GROVE","162","12","Republican","32"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","FAIR HAVEN","564","12","Republican","89"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","FREEDOM","610","12","Republican","123"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","MT CARROLL 1","416","12","Republican","75"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","MT CARROLL 2","677","12","Republican","140"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","MT CARROLL 3","391","12","Republican","63"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","ROCK CREEK-LIMA 1","663","12","Republican","108"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","ROCK CREEK-LIMA 2","745","12","Republican","119"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","SALEM","266","12","Republican","53"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","SAVANNA 1","303","12","Republican","33"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","SAVANNA 2","250","12","Republican","27"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","SAVANNA 3","264","12","Republican","20"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","SAVANNA 4","437","12","Republican","62"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","SAVANNA 5","389","12","Republican","76"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","SAVANNA 6","611","12","Republican","56"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","WASHINGTON","259","12","Republican","52"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","WOODLAND","217","12","Republican","69"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","WYSOX 1","531","12","Republican","69"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","WYSOX 2","383","12","Republican","45"
"8","0","CARROLL","210","DARLENE SENGER","210","COMPTROLLER","YORK","1248","12","Republican","233"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","CHERRY GROVE-SHANNON 1","433","12","Republican","101"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","CHERRY GROVE-SHANNON 2","630","12","Republican","153"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","ELKHORN GROVE","162","12","Republican","33"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","FAIR HAVEN","564","12","Republican","89"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","FREEDOM","610","12","Republican","121"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","MT CARROLL 1","416","12","Republican","76"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","MT CARROLL 2","677","12","Republican","137"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","MT CARROLL 3","391","12","Republican","62"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","ROCK CREEK-LIMA 1","663","12","Republican","108"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","ROCK CREEK-LIMA 2","745","12","Republican","117"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","SALEM","266","12","Republican","52"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","SAVANNA 1","303","12","Republican","30"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","SAVANNA 2","250","12","Republican","27"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","SAVANNA 3","264","12","Republican","20"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","SAVANNA 4","437","12","Republican","61"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","SAVANNA 5","389","12","Republican","76"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","SAVANNA 6","611","12","Republican","54"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","WASHINGTON","259","12","Republican","52"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","WOODLAND","217","12","Republican","70"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","WYSOX 1","531","12","Republican","69"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","WYSOX 2","383","12","Republican","45"
"8","0","CARROLL","220","JIM DODGE","220","TREASURER","YORK","1248","12","Republican","229"
"8","0","CARROLL","1230","NEIL ANDERSON","1140","36TH SENATE","SAVANNA 1","303","12","Republican","37"
