"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"19","0","DeKALB","0","","0","","AFTON 01","657","0","Nonpartisan","199"
"19","0","DeKALB","0","","0","","CLINTON 01","1130","0","Nonpartisan","246"
"19","0","DeKALB","0","","0","","CORTLAND 01","1488","0","Nonpartisan","319"
"19","0","DeKALB","0","","0","","CORTLAND 02","1298","0","Nonpartisan","376"
"19","0","DeKALB","0","","0","","CORTLAND 03","758","0","Nonpartisan","200"
"19","0","DeKALB","0","","0","","CORTLAND 04","498","0","Nonpartisan","125"
"19","0","DeKALB","0","","0","","CORTLAND 05","337","0","Nonpartisan","101"
"19","0","DeKALB","0","","0","","CORTLAND 06","1153","0","Nonpartisan","211"
"19","0","DeKALB","0","","0","","CORTLAND 07","555","0","Nonpartisan","119"
"19","0","DeKALB","0","","0","","CORTLAND 08","829","0","Nonpartisan","223"
"19","0","DeKALB","0","","0","","DEKALB 01","528","0","Nonpartisan","177"
"19","0","DeKALB","0","","0","","DEKALB 02","879","0","Nonpartisan","150"
"19","0","DeKALB","0","","0","","DEKALB 03","1078","0","Nonpartisan","399"
"19","0","DeKALB","0","","0","","DEKALB 04","1275","0","Nonpartisan","108"
"19","0","DeKALB","0","","0","","DEKALB 05","1392","0","Nonpartisan","192"
"19","0","DeKALB","0","","0","","DEKALB 06","558","0","Nonpartisan","117"
"19","0","DeKALB","0","","0","","DEKALB 07","1038","0","Nonpartisan","242"
"19","0","DeKALB","0","","0","","DEKALB 08","1020","0","Nonpartisan","273"
"19","0","DeKALB","0","","0","","DEKALB 09","1301","0","Nonpartisan","405"
"19","0","DeKALB","0","","0","","DEKALB 10","808","0","Nonpartisan","201"
"19","0","DeKALB","0","","0","","DEKALB 11","947","0","Nonpartisan","377"
"19","0","DeKALB","0","","0","","DEKALB 12","638","0","Nonpartisan","242"
"19","0","DeKALB","0","","0","","DEKALB 13","991","0","Nonpartisan","259"
"19","0","DeKALB","0","","0","","DEKALB 14","443","0","Nonpartisan","90"
"19","0","DeKALB","0","","0","","DEKALB 15","514","0","Nonpartisan","92"
"19","0","DeKALB","0","","0","","DEKALB 16","692","0","Nonpartisan","155"
"19","0","DeKALB","0","","0","","DEKALB 17","421","0","Nonpartisan","117"
"19","0","DeKALB","0","","0","","DEKALB 18","481","0","Nonpartisan","131"
"19","0","DeKALB","0","","0","","DEKALB 19","623","0","Nonpartisan","194"
"19","0","DeKALB","0","","0","","DEKALB 20","774","0","Nonpartisan","246"
"19","0","DeKALB","0","","0","","DEKALB 21","907","0","Nonpartisan","331"
"19","0","DeKALB","0","","0","","DEKALB 22","830","0","Nonpartisan","200"
"19","0","DeKALB","0","","0","","DEKALB 23","592","0","Nonpartisan","184"
"19","0","DeKALB","0","","0","","DEKALB 24","657","0","Nonpartisan","145"
"19","0","DeKALB","0","","0","","DEKALB 25","781","0","Nonpartisan","233"
"19","0","DeKALB","0","","0","","FRANKLIN 01","1481","0","Nonpartisan","418"
"19","0","DeKALB","0","","0","","GENOA 01","1627","0","Nonpartisan","392"
"19","0","DeKALB","0","","0","","GENOA 02","1692","0","Nonpartisan","301"
"19","0","DeKALB","0","","0","","KINGSTON 01","2298","0","Nonpartisan","516"
"19","0","DeKALB","0","","0","","MALTA 01","976","0","Nonpartisan","256"
"19","0","DeKALB","0","","0","","MAYFIELD 01","651","0","Nonpartisan","176"
"19","0","DeKALB","0","","0","","MILAN 01","217","0","Nonpartisan","55"
"19","0","DeKALB","0","","0","","PIERCE 01","314","0","Nonpartisan","123"
"19","0","DeKALB","0","","0","","PAW PAW 01","230","0","Nonpartisan","66"
"19","0","DeKALB","0","","0","","SANDWICH 01","907","0","Nonpartisan","266"
"19","0","DeKALB","0","","0","","SANDWICH 02","948","0","Nonpartisan","293"
"19","0","DeKALB","0","","0","","SANDWICH 03","941","0","Nonpartisan","239"
"19","0","DeKALB","0","","0","","SANDWICH 04","905","0","Nonpartisan","241"
"19","0","DeKALB","0","","0","","SANDWICH 05","976","0","Nonpartisan","360"
"19","0","DeKALB","0","","0","","SOUTH GROVE 01","323","0","Nonpartisan","114"
"19","0","DeKALB","0","","0","","SHABBONA 01","856","0","Nonpartisan","278"
"19","0","DeKALB","0","","0","","SOMONAUK 01","1288","0","Nonpartisan","337"
"19","0","DeKALB","0","","0","","SQUAW GROVE 01","1805","0","Nonpartisan","468"
"19","0","DeKALB","0","","0","","SYCAMORE 01","711","0","Nonpartisan","187"
"19","0","DeKALB","0","","0","","SYCAMORE 02","923","0","Nonpartisan","209"
"19","0","DeKALB","0","","0","","SYCAMORE 03","1076","0","Nonpartisan","242"
"19","0","DeKALB","0","","0","","SYCAMORE 04","758","0","Nonpartisan","169"
"19","0","DeKALB","0","","0","","SYCAMORE 05","683","0","Nonpartisan","168"
