"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"60","0","MASON","0","","0","","ALLENS GROVE","357","0","","70"
"60","0","MASON","0","","0","","BATH 1","548","0","","121"
"60","0","MASON","0","","0","","CRANE CREEK","108","0","","19"
"60","0","MASON","0","","0","","FOREST CITY","339","0","","73"
"60","0","MASON","0","","0","","HAVANA 1","543","0","","145"
"60","0","MASON","0","","0","","HAVANA 2","417","0","","89"
"60","0","MASON","0","","0","","HAVANA 3","474","0","","111"
"60","0","MASON","0","","0","","HAVANA 4","546","0","","153"
"60","0","MASON","0","","0","","HAVANA 5","514","0","","105"
"60","0","MASON","0","","0","","HAVANA 6","587","0","","133"
"60","0","MASON","0","","0","","KILBOURNE","303","0","","63"
"60","0","MASON","0","","0","","LYNCHBURG","162","0","","37"
"60","0","MASON","0","","0","","MANITO 1","680","0","","141"
"60","0","MASON","0","","0","","MANITO 2","740","0","","134"
"60","0","MASON","0","","0","","MASON CITY 1","584","0","","112"
"60","0","MASON","0","","0","","MASON CITY 2","497","0","","121"
"60","0","MASON","0","","0","","MASON CITY 3","549","0","","135"
"60","0","MASON","0","","0","","PENNSYLVANIA","114","0","","33"
"60","0","MASON","0","","0","","QUIVER","472","0","","86"
"60","0","MASON","0","","0","","SALT CREEK","168","0","","47"
"60","0","MASON","0","","0","","SHERMAN","338","0","","79"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","ALLENS GROVE","357","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","BATH 1","548","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","CRANE CREEK","108","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","FOREST CITY","339","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","HAVANA 1","543","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","HAVANA 2","417","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","HAVANA 3","474","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","HAVANA 4","546","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","HAVANA 5","514","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","HAVANA 6","587","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","KILBOURNE","303","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","LYNCHBURG","162","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","MANITO 1","680","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","MANITO 2","740","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","MASON CITY 1","584","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","MASON CITY 2","497","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","MASON CITY 3","549","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","PENNSYLVANIA","114","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","QUIVER","472","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","SALT CREEK","168","11","DEMOCRATIC","0"
"60","0","MASON","50001","WRITE-IN","190","ATTORNEY GENERAL","SHERMAN","338","11","DEMOCRATIC","0"
