"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","ATLAS 1","343","12","Republican","13"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BARRY 1","444","12","Republican","29"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BARRY 2","562","12","Republican","37"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHAMBERSBURG 1","107","12","Republican","6"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CINCINNATI 1","16","12","Republican","0"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","DERRY 1","167","12","Republican","13"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","DETROIT 1","204","12","Republican","23"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","FAIRMOUNT 1","121","12","Republican","8"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","FLINT 1","61","12","Republican","6"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","GRIGGSVILLE 1","409","12","Republican","23"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","GRIGGSVILLE 2","472","12","Republican","22"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","HADLEY 1","168","12","Republican","12"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","HARDIN 1","158","12","Republican","15"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","KINDERHOOK 1","203","12","Republican","2"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","KINDERHOOK 2","372","12","Republican","25"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","LEVEE 1","29","12","Republican","0"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","MARTINSBURG","291","12","Republican","21"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","MONTEZUMA 1","287","12","Republican","17"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","NEW SALEM 1","200","12","Republican","11"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","NEW SALEM 2","162","12","Republican","11"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","NEWBURG 1","679","12","Republican","81"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","PEARL 1","167","12","Republican","12"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","PERRY 1","357","12","Republican","25"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","PITTSFIELD 1","915","12","Republican","50"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","PITTSFIELD 2","383","12","Republican","28"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","PITTSFIELD 3","856","12","Republican","62"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","PITTSFIELD 4","586","12","Republican","38"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","PLEASANT HILL 1","793","12","Republican","36"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","PLEASANT VALE 1","353","12","Republican","12"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","ROSS 1","41","12","Republican","1"
"75","0","PIKE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","SPRING CREEK 1","360","12","Republican","19"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","ATLAS 1","343","12","Republican","30"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","BARRY 1","444","12","Republican","31"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","BARRY 2","562","12","Republican","40"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","CHAMBERSBURG 1","107","12","Republican","10"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","CINCINNATI 1","16","12","Republican","0"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","DERRY 1","167","12","Republican","17"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","DETROIT 1","204","12","Republican","24"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","FAIRMOUNT 1","121","12","Republican","11"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","FLINT 1","61","12","Republican","7"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","GRIGGSVILLE 1","409","12","Republican","28"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","GRIGGSVILLE 2","472","12","Republican","22"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","HADLEY 1","168","12","Republican","12"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","HARDIN 1","158","12","Republican","15"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","KINDERHOOK 1","203","12","Republican","7"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","KINDERHOOK 2","372","12","Republican","25"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","LEVEE 1","29","12","Republican","0"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","MARTINSBURG","291","12","Republican","28"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","MONTEZUMA 1","287","12","Republican","22"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","NEW SALEM 1","200","12","Republican","18"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","NEW SALEM 2","162","12","Republican","10"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","NEWBURG 1","679","12","Republican","102"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","PEARL 1","167","12","Republican","10"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","PERRY 1","357","12","Republican","30"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","PITTSFIELD 1","915","12","Republican","75"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","PITTSFIELD 2","383","12","Republican","32"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","PITTSFIELD 3","856","12","Republican","64"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","PITTSFIELD 4","586","12","Republican","62"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","PLEASANT HILL 1","793","12","Republican","44"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","PLEASANT VALE 1","353","12","Republican","19"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","ROSS 1","41","12","Republican","2"
"75","0","PIKE","145","ERIKA HAROLD","190","ATTORNEY GENERAL","SPRING CREEK 1","360","12","Republican","26"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","ATLAS 1","343","12","Republican","49"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","BARRY 1","444","12","Republican","45"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","BARRY 2","562","12","Republican","69"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","CHAMBERSBURG 1","107","12","Republican","17"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","CINCINNATI 1","16","12","Republican","0"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","DERRY 1","167","12","Republican","31"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","DETROIT 1","204","12","Republican","43"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","FAIRMOUNT 1","121","12","Republican","14"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","FLINT 1","61","12","Republican","12"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","GRIGGSVILLE 1","409","12","Republican","44"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","GRIGGSVILLE 2","472","12","Republican","44"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","HADLEY 1","168","12","Republican","18"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","HARDIN 1","158","12","Republican","34"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","KINDERHOOK 1","203","12","Republican","13"
"75","0","PIKE","195","JASON HELLAND","200","SECRETARY OF STATE","KINDERHOOK 2","372","12","Republican","40"
