"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BALDWIN","665","11","Democrat","39"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BREMEN","342","11","Democrat","9"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BREWERVILLE","179","11","Democrat","17"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CENTRAL","340","11","Democrat","41"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHESTER 1","487","11","Democrat","14"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHESTER 2","405","11","Democrat","18"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHESTER 3","592","11","Democrat","26"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHESTER 4","716","11","Democrat","42"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHESTER 5","406","11","Democrat","14"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHESTER 6","669","11","Democrat","40"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHESTER 7","569","11","Democrat","20"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","COULTERVILLE 1","436","11","Democrat","32"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","COULTERVILLE 2","547","11","Democrat","42"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","ELLIS GROVE","710","11","Democrat","63"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","EVANSVILLE","684","11","Democrat","71"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","KASKASKIA","53","11","Democrat","3"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","PALESTINE","496","11","Democrat","54"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","PERCY","702","11","Democrat","38"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","PRAIRIE DU ROCHER","659","11","Democrat","45"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","RED BUD 1","677","11","Democrat","18"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","RED BUD 2","863","11","Democrat","43"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","RED BUD 3","708","11","Democrat","22"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","RED BUD 4","1367","11","Democrat","58"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","ROCKWOOD","214","11","Democrat","9"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","RUMA","616","11","Democrat","40"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","SPARTA 1","683","11","Democrat","28"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","SPARTA 2","589","11","Democrat","47"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","SPARTA 3","691","11","Democrat","63"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","SPARTA 4","631","11","Democrat","38"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","SPARTA 5","642","11","Democrat","29"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","SPARTA 6","726","11","Democrat","38"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","STEELEVILLE 1","616","11","Democrat","27"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","STEELEVILLE 2","668","11","Democrat","27"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","STEELEVILLE 3","673","11","Democrat","31"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","TILDEN","830","11","Democrat","47"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","WALSH","353","11","Democrat","34"
"79","0","RANDOLPH","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","WINE HILL","359","11","Democrat","22"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BALDWIN","665","12","Republican","39"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BREMEN","342","12","Republican","15"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BREWERVILLE","179","12","Republican","3"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CENTRAL","340","12","Republican","26"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHESTER 1","487","12","Republican","21"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHESTER 2","405","12","Republican","5"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHESTER 3","592","12","Republican","24"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHESTER 4","716","12","Republican","27"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHESTER 5","406","12","Republican","5"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHESTER 6","669","12","Republican","27"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CHESTER 7","569","12","Republican","18"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","COULTERVILLE 1","436","12","Republican","20"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","COULTERVILLE 2","547","12","Republican","24"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","ELLIS GROVE","710","12","Republican","35"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","EVANSVILLE","684","12","Republican","17"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","KASKASKIA","53","12","Republican","1"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","PALESTINE","496","12","Republican","25"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","PERCY","702","12","Republican","11"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","PRAIRIE DU ROCHER","659","12","Republican","25"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","RED BUD 1","677","12","Republican","41"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","RED BUD 2","863","12","Republican","30"
"79","0","RANDOLPH","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","RED BUD 3","708","12","Republican","25"
