"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BAINBRIDGE","497","11","Democrat","6"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BIRMINGHAM","98","11","Democrat","1"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BROOKLYN","142","11","Democrat","4"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BROWNING","275","11","Democrat","6"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BUENAVISTA 1","954","11","Democrat","68"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BUENAVISTA 2","495","11","Democrat","17"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","CAMDEN","179","11","Democrat","8"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","FREDERICK","112","11","Democrat","5"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","HICKORY","111","11","Democrat","8"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","HUNTSVILLE","106","11","Democrat","4"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","LITTLETON","219","11","Democrat","4"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","OAKLAND","110","11","Democrat","8"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","RUSHVILLE 1","351","11","Democrat","10"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","RUSHVILLE 2","589","11","Democrat","17"
"84","0","SCHUYLER","110","JB PRITZKER","180","GOVERNOR AND LIEUTENANT GOVERNOR","RUSHVILLE 3","383","11","Democrat","12"
