"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"90","0","TAZEWELL","0","","0","","BOYNTON","182","0","","75"
"90","0","TAZEWELL","0","","0","","CINCINNATI 1","820","0","","209"
"90","0","TAZEWELL","0","","0","","CINCINNATI 2","940","0","","278"
"90","0","TAZEWELL","0","","0","","CINCINNATI 3","528","0","","119"
"90","0","TAZEWELL","0","","0","","CINCINNATI 4","761","0","","160"
"90","0","TAZEWELL","0","","0","","CINCINNATI 5","582","0","","245"
"90","0","TAZEWELL","0","","0","","CINCINNATI 6","730","0","","279"
"90","0","TAZEWELL","0","","0","","CINCINNATI 7","1019","0","","391"
"90","0","TAZEWELL","0","","0","","DEER CREEK","986","0","","289"
"90","0","TAZEWELL","0","","0","","DELAVAN 1","478","0","","101"
"90","0","TAZEWELL","0","","0","","DELAVAN 2","374","0","","116"
"90","0","TAZEWELL","0","","0","","DELAVAN 3","461","0","","128"
"90","0","TAZEWELL","0","","0","","DILLON","737","0","","265"
"90","0","TAZEWELL","0","","0","","ELM GROVE 1","767","0","","264"
"90","0","TAZEWELL","0","","0","","ELM GROVE 2","955","0","","379"
"90","0","TAZEWELL","0","","0","","ELM GROVE 3","491","0","","144"
"90","0","TAZEWELL","0","","0","","FONDULAC 1","612","0","","178"
"90","0","TAZEWELL","0","","0","","FONDULAC 2","348","0","","51"
"90","0","TAZEWELL","0","","0","","FONDULAC 3","746","0","","176"
"90","0","TAZEWELL","0","","0","","FONDULAC 4","404","0","","91"
"90","0","TAZEWELL","0","","0","","FONDULAC 5","551","0","","87"
"90","0","TAZEWELL","0","","0","","FONDULAC 6","393","0","","55"
"90","0","TAZEWELL","0","","0","","FONDULAC 7","574","0","","103"
"90","0","TAZEWELL","0","","0","","FONDULAC 8","532","0","","127"
"90","0","TAZEWELL","0","","0","","FONDULAC 9","486","0","","84"
"90","0","TAZEWELL","0","","0","","FONDULAC 10","434","0","","114"
"90","0","TAZEWELL","0","","0","","FONDULAC 11","539","0","","113"
"90","0","TAZEWELL","0","","0","","FONDULAC 12","621","0","","94"
"90","0","TAZEWELL","0","","0","","FONDULAC 13","896","0","","263"
"90","0","TAZEWELL","0","","0","","FONDULAC 14","365","0","","37"
"90","0","TAZEWELL","0","","0","","FONDULAC 15","759","0","","166"
"90","0","TAZEWELL","0","","0","","GROVELAND 1","811","0","","241"
"90","0","TAZEWELL","0","","0","","GROVELAND 2","527","0","","93"
"90","0","TAZEWELL","0","","0","","GROVELAND 3","1008","0","","237"
"90","0","TAZEWELL","0","","0","","GROVELAND 4","516","0","","84"
"90","0","TAZEWELL","0","","0","","GROVELAND 5","615","0","","149"
"90","0","TAZEWELL","0","","0","","GROVELAND 6","914","0","","210"
"90","0","TAZEWELL","0","","0","","GROVELAND 7","621","0","","103"
"90","0","TAZEWELL","0","","0","","GROVELAND 8","645","0","","111"
"90","0","TAZEWELL","0","","0","","GROVELAND 9","430","0","","57"
"90","0","TAZEWELL","0","","0","","GROVELAND 10","651","0","","174"
"90","0","TAZEWELL","0","","0","","GROVELAND 11","671","0","","178"
"90","0","TAZEWELL","0","","0","","GROVELAND 12","659","0","","148"
"90","0","TAZEWELL","0","","0","","GROVELAND 13","754","0","","157"
"90","0","TAZEWELL","0","","0","","GROVELAND 14","673","0","","153"
"90","0","TAZEWELL","0","","0","","GROVELAND 15","865","0","","328"
"90","0","TAZEWELL","0","","0","","GROVELAND 16","592","0","","132"
"90","0","TAZEWELL","0","","0","","GROVELAND 17","803","0","","159"
"90","0","TAZEWELL","0","","0","","GROVELAND 18","784","0","","240"
"90","0","TAZEWELL","0","","0","","GROVELAND 19","773","0","","301"
"90","0","TAZEWELL","0","","0","","HITTLE","391","0","","134"
"90","0","TAZEWELL","0","","0","","HOPEDALE 1","518","0","","156"
"90","0","TAZEWELL","0","","0","","HOPEDALE 2","785","0","","240"
"90","0","TAZEWELL","0","","0","","LT MACKINAW 1","508","0","","155"
"90","0","TAZEWELL","0","","0","","LT MACKINAW 2","529","0","","155"
"90","0","TAZEWELL","0","","0","","MACKINAW 1","1189","0","","344"
