"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","ARRINGTON","257","12","Republican","13"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BARNHILL","456","12","Republican","67"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BEDFORD","735","12","Republican","73"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BERRY","251","12","Republican","21"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BIG MOUND 1","832","12","Republican","78"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","BIG MOUND 2","484","12","Republican","46"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","ELM RIVER","196","12","Republican","20"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","FOUR MILE","437","12","Republican","27"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","GARDEN HILL","99","12","Republican","8"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","GROVER","856","12","Republican","87"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","RIDER","626","12","Republican","46"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","FAIRFIELD 1","399","12","Republican","46"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","FAIRFIELD 2","540","12","Republican","71"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","MERRIAM","422","12","Republican","43"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","HICKORY HILL","250","12","Republican","37"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","INDIAN PRAIRIE","436","12","Republican","42"
"96","0","WAYNE","100","BRUCE RAUNER","180","GOVERNOR AND LIEUTENANT GOVERNOR","JASPER 1","818","12","Republican","115"
