"Election","Jurisdiction Name","Reporting County Name","DataEntry Jurisdiction Name","DataEntry Level Name","Office","Office Category","Ballot Order","Name on Ballot","Political Party","Winner","Number of Office Seats","Total Votes"
"2018 Primary Election","Statewide","Adams","Adams","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","681"
"2018 Primary Election","Statewide","Adams","Adams","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","848"
"2018 Primary Election","Statewide","Adams","Adams","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1639"
"2018 Primary Election","Statewide","Adams","Adams","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1276"
"2018 Primary Election","Statewide","Allen","Allen","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","13224"
"2018 Primary Election","Statewide","Allen","Allen","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","5248"
"2018 Primary Election","Statewide","Allen","Allen","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","9310"
"2018 Primary Election","Statewide","Allen","Allen","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","8084"
"2018 Primary Election","Statewide","Bartholomew","Bartholomew","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","2766"
"2018 Primary Election","Statewide","Bartholomew","Bartholomew","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","4148"
"2018 Primary Election","Statewide","Bartholomew","Bartholomew","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","2908"
"2018 Primary Election","Statewide","Bartholomew","Bartholomew","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1823"
"2018 Primary Election","Statewide","Benton","Benton","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","127"
"2018 Primary Election","Statewide","Benton","Benton","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","190"
"2018 Primary Election","Statewide","Benton","Benton","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","350"
"2018 Primary Election","Statewide","Benton","Benton","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","457"
"2018 Primary Election","Statewide","Blackford","Blackford","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","407"
"2018 Primary Election","Statewide","Blackford","Blackford","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","541"
"2018 Primary Election","Statewide","Blackford","Blackford","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","596"
"2018 Primary Election","Statewide","Blackford","Blackford","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","486"
"2018 Primary Election","Statewide","Boone","Boone","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1583"
"2018 Primary Election","Statewide","Boone","Boone","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1970"
"2018 Primary Election","Statewide","Boone","Boone","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","3521"
"2018 Primary Election","Statewide","Boone","Boone","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","2664"
"2018 Primary Election","Statewide","Brown","Brown","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1118"
"2018 Primary Election","Statewide","Brown","Brown","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","574"
"2018 Primary Election","Statewide","Brown","Brown","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","928"
"2018 Primary Election","Statewide","Brown","Brown","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","730"
"2018 Primary Election","Statewide","Carroll","Carroll","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","451"
"2018 Primary Election","Statewide","Carroll","Carroll","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","511"
"2018 Primary Election","Statewide","Carroll","Carroll","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","956"
"2018 Primary Election","Statewide","Carroll","Carroll","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1045"
"2018 Primary Election","Statewide","Cass","Cass","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1032"
"2018 Primary Election","Statewide","Cass","Cass","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","837"
"2018 Primary Election","Statewide","Cass","Cass","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","2093"
"2018 Primary Election","Statewide","Cass","Cass","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1808"
"2018 Primary Election","Statewide","Clark","Clark","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","5823"
"2018 Primary Election","Statewide","Clark","Clark","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1912"
"2018 Primary Election","Statewide","Clark","Clark","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","2716"
"2018 Primary Election","Statewide","Clark","Clark","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1816"
"2018 Primary Election","Statewide","Clay","Clay","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","944"
