race name,county,party,candidate,votes
 1st Congressional District , Part of Suffolk , DEM Primary ,David Pechefsky,"2,425"
 1st Congressional District , Part of Suffolk , DEM Primary ,Kate M. Browning,"6,159"
 1st Congressional District , Part of Suffolk , DEM Primary ,Elaine Di Masi,"1,207"
 1st Congressional District , Part of Suffolk , DEM Primary ,Perry Gershon,"7,226"
 1st Congressional District , Part of Suffolk , DEM Primary ,Vivian M. Viloria-Fisher,"3,314"
 1st Congressional District , Part of Suffolk , DEM Primary ,Blank,16
 1st Congressional District , Part of Suffolk , DEM Primary ,Void,16
 1st Congressional District , Part of Suffolk , DEM Primary ,Write-in,20
 2nd Congressional District , Part of Nassau , DEM Primary ,Du Wayne Gregory,451
 2nd Congressional District , Part of Nassau , DEM Primary ,Liuba Grechen Shirley,"2,123"
 2nd Congressional District , Part of Nassau , DEM Primary ,Blank,5
 2nd Congressional District , Part of Nassau , DEM Primary ,Void,10
 2nd Congressional District , Part of Nassau , DEM Primary ,Write-in,1
 2nd Congressional District , Part of Suffolk , DEM Primary ,Du Wayne Gregory,"4,532"
 2nd Congressional District , Part of Suffolk , DEM Primary ,Liuba Grechen Shirley,"4,815"
 2nd Congressional District , Part of Suffolk , DEM Primary ,Blank,7
 2nd Congressional District , Part of Suffolk , DEM Primary ,Void,8
 2nd Congressional District , Part of Suffolk , DEM Primary ,Write-in,15
 5th Congressional District , Part of Nassau , DEM Primary ,Gregory W. Meeks,533
 5th Congressional District , Part of Nassau , DEM Primary ,Mizan Choudhury,82
 5th Congressional District , Part of Nassau , DEM Primary ,Carl H. Achille,451
 5th Congressional District , Part of Nassau , DEM Primary ,Blank,3
 5th Congressional District , Part of Nassau , DEM Primary ,Void,19
 5th Congressional District , Part of Nassau , DEM Primary ,Write-in,7
 5th Congressional District , Part of Queens , DEM Primary ,Gregory W. Meeks,"9,270"
 5th Congressional District , Part of Queens , DEM Primary ,Mizan Choudhury,981
 5th Congressional District , Part of Queens , DEM Primary ,Carl H. Achille,712
 5th Congressional District , Part of Queens , DEM Primary ,Blank,5
 5th Congressional District , Part of Queens , DEM Primary ,Void,11
 5th Congressional District , Part of Queens , DEM Primary ,Write-in,43
 9th Congressional District , Part of Kings , DEM Primary ,Adem Bunkeddeko,"13,729"
 9th Congressional District , Part of Kings , DEM Primary ,Yvette D. Clarke,"14,804"
 9th Congressional District , Part of Kings , DEM Primary ,Blank,12
 9th Congressional District , Part of Kings , DEM Primary ,Void,32
 9th Congressional District , Part of Kings , DEM Primary ,Write-in,86
 11th Congressional District , Part of Kings , DEM Primary ,Omar Vaid,616
 11th Congressional District , Part of Kings , DEM Primary ,Michael DeVito Jr.,866
 11th Congressional District , Part of Kings , DEM Primary ,Zach Emig,92
 11th Congressional District , Part of Kings , DEM Primary ,Paul Sperling,100
 11th Congressional District , Part of Kings , DEM Primary ,Radhakrishna Mohan,75
 11th Congressional District , Part of Kings , DEM Primary ,Max N. Rose,"3,447"
 11th Congressional District , Part of Kings , DEM Primary ,Blank,14
 11th Congressional District , Part of Kings , DEM Primary ,Void,14
 11th Congressional District , Part of Kings , DEM Primary ,Write-in,38
 11th Congressional District , Richmond , DEM Primary ,Omar Vaid,825
 11th Congressional District , Richmond , DEM Primary ,Michael DeVito Jr.,"2,284"
 11th Congressional District , Richmond , DEM Primary ,Zach Emig,124
 11th Congressional District , Richmond , DEM Primary ,Paul Sperling,292
 11th Congressional District , Richmond , DEM Primary ,Radhakrishna Mohan,572
 11th Congressional District , Richmond , DEM Primary ,Max N. Rose,"7,265"
 11th Congressional District , Richmond , DEM Primary ,Blank,55
 11th Congressional District , Richmond , DEM Primary ,Void,47
 11th Congressional District , Richmond , DEM Primary ,Write-in,372
 12th Congressional District , Part of Kings , DEM Primary ,Carolyn B. Maloney,"1,468"
 12th Congressional District , Part of Kings , DEM Primary ,Suraj Patel,"2,864"
 12th Congressional District , Part of Kings , DEM Primary ,Blank,0
 12th Congressional District , Part of Kings , DEM Primary ,Void,0
 12th Congressional District , Part of Kings , DEM Primary ,Write-in,22
 12th Congressional District , Part of New York , DEM Primary ,Carolyn B. Maloney,"19,836"
 12th Congressional District , Part of New York , DEM Primary ,Suraj Patel,"11,275"
 12th Congressional District , Part of New York , DEM Primary ,Blank,18
 12th Congressional District , Part of New York , DEM Primary ,Void,35
 12th Congressional District , Part of New York , DEM Primary ,Write-in,111
 12th Congressional District , Part of Queens , DEM Primary ,Carolyn B. Maloney,"2,919"
 12th Congressional District , Part of Queens , DEM Primary ,Suraj Patel,"2,856"
 12th Congressional District , Part of Queens , DEM Primary ,Blank,4
 12th Congressional District , Part of Queens , DEM Primary ,Void,12
 12th Congressional District , Part of Queens , DEM Primary ,Write-in,40
 14th Congressional District , Part of Bronx , DEM Primary ,Alexandria Ocasio-Cortez,"4,093"
 14th Congressional District , Part of Bronx , DEM Primary ,Joseph Crowley,"3,541"
 14th Congressional District , Part of Bronx , DEM Primary ,Blank,10
 14th Congressional District , Part of Bronx , DEM Primary ,Void,20
 14th Congressional District , Part of Bronx , DEM Primary ,Write-in,25
 14th Congressional District , Part of Queens , DEM Primary ,Alexandria Ocasio-Cortez,"11,804"
 14th Congressional District , Part of Queens , DEM Primary ,Joseph Crowley,"8,220"
 14th Congressional District , Part of Queens , DEM Primary ,Blank,13
 14th Congressional District , Part of Queens , DEM Primary ,Void,39
 14th Congressional District , Part of Queens , DEM Primary ,Write-in,61
 16th Congressional District , Part of Bronx , DEM Primary ,Jonathan Lewis,"1,397"
 16th Congressional District , Part of Bronx , DEM Primary ,Derickson K. Lawrence,399
 16th Congressional District , Part of Bronx , DEM Primary ,Joyce N. Briscoe,826
 16th Congressional District , Part of Bronx , DEM Primary ,Eliot L Engel,"8,488"
 16th Congressional District , Part of Bronx , DEM Primary ,Blank,6
 16th Congressional District , Part of Bronx , DEM Primary ,Void,18
 16th Congressional District , Part of Bronx , DEM Primary ,Write-in,51
 16th Congressional District , Part of Westchester , DEM Primary ,Jonathan Lewis,"3,071"
 16th Congressional District , Part of Westchester , DEM Primary ,Derickson K. Lawrence,751
 16th Congressional District , Part of Westchester , DEM Primary ,Joyce N. Briscoe,725
 16th Congressional District , Part of Westchester , DEM Primary ,Eliot L Engel,"11,906"
 16th Congressional District , Part of Westchester , DEM Primary ,Blank,11
 16th Congressional District , Part of Westchester , DEM Primary ,Void,9
 16th Congressional District , Part of Westchester , DEM Primary ,Write-in,26
 19th Congressional District , Part of Broome , DEM Primary ,Brian Flynn,3
 19th Congressional District , Part of Broome , DEM Primary ,Erin Collier,6
 19th Congressional District , Part of Broome , DEM Primary ,Gareth Rhodes,8
 19th Congressional District , Part of Broome , DEM Primary ,Pat Ryan,11
 19th Congressional District , Part of Broome , DEM Primary ,Antonio Delgado,9
 19th Congressional District , Part of Broome , DEM Primary ,Jeff Beals,5
 19th Congressional District , Part of Broome , DEM Primary ,Dave Clegg,3
 19th Congressional District , Part of Broome , DEM Primary ,Blank,0
 19th Congressional District , Part of Broome , DEM Primary ,Void,0
 19th Congressional District , Part of Broome , DEM Primary ,Write-in,1
 19th Congressional District , Columbia , DEM Primary ,Brian Flynn,582
 19th Congressional District , Columbia , DEM Primary ,Erin Collier,175
 19th Congressional District , Columbia , DEM Primary ,Gareth Rhodes,"1,311"
 19th Congressional District , Columbia , DEM Primary ,Pat Ryan,744
 19th Congressional District , Columbia , DEM Primary ,Antonio Delgado,934
 19th Congressional District , Columbia , DEM Primary ,Jeff Beals,570
 19th Congressional District , Columbia , DEM Primary ,Dave Clegg,218
 19th Congressional District , Columbia , DEM Primary ,Blank,2
 19th Congressional District , Columbia , DEM Primary ,Void,1
 19th Congressional District , Columbia , DEM Primary ,Write-in,1
 19th Congressional District , Delaware , DEM Primary ,Brian Flynn,282
 19th Congressional District , Delaware , DEM Primary ,Erin Collier,105
 19th Congressional District , Delaware , DEM Primary ,Gareth Rhodes,314
 19th Congressional District , Delaware , DEM Primary ,Pat Ryan,160
 19th Congressional District , Delaware , DEM Primary ,Antonio Delgado,260
 19th Congressional District , Delaware , DEM Primary ,Jeff Beals,249
 19th Congressional District , Delaware , DEM Primary ,Dave Clegg,90
 19th Congressional District , Delaware , DEM Primary ,Blank,2
 19th Congressional District , Delaware , DEM Primary ,Void,1
 19th Congressional District , Delaware , DEM Primary ,Write-in,2
 19th Congressional District , Part of Dutchess , DEM Primary ,Brian Flynn,680
 19th Congressional District , Part of Dutchess , DEM Primary ,Erin Collier,271
 19th Congressional District , Part of Dutchess , DEM Primary ,Gareth Rhodes,"1,155"
 19th Congressional District , Part of Dutchess , DEM Primary ,Pat Ryan,"1,301"
 19th Congressional District , Part of Dutchess , DEM Primary ,Antonio Delgado,"1,701"
 19th Congressional District , Part of Dutchess , DEM Primary ,Jeff Beals,666
 19th Congressional District , Part of Dutchess , DEM Primary ,Dave Clegg,248
 19th Congressional District , Part of Dutchess , DEM Primary ,Blank,2
 19th Congressional District , Part of Dutchess , DEM Primary ,Void,3
 19th Congressional District , Part of Dutchess , DEM Primary ,Write-in,0
 19th Congressional District , Greene , DEM Primary ,Brian Flynn,443
 19th Congressional District , Greene , DEM Primary ,Erin Collier,60
 19th Congressional District , Greene , DEM Primary ,Gareth Rhodes,223
 19th Congressional District , Greene , DEM Primary ,Pat Ryan,268
 19th Congressional District , Greene , DEM Primary ,Antonio Delgado,397
 19th Congressional District , Greene , DEM Primary ,Jeff Beals,274
 19th Congressional District , Greene , DEM Primary ,Dave Clegg,79
 19th Congressional District , Greene , DEM Primary ,Blank,0
 19th Congressional District , Greene , DEM Primary ,Void,2
 19th Congressional District , Greene , DEM Primary ,Write-in,4
 19th Congressional District , Part of Montgomery , DEM Primary ,Brian Flynn,47
 19th Congressional District , Part of Montgomery , DEM Primary ,Erin Collier,32
 19th Congressional District , Part of Montgomery , DEM Primary ,Gareth Rhodes,33
 19th Congressional District , Part of Montgomery , DEM Primary ,Pat Ryan,42
 19th Congressional District , Part of Montgomery , DEM Primary ,Antonio Delgado,70
 19th Congressional District , Part of Montgomery , DEM Primary ,Jeff Beals,18
 19th Congressional District , Part of Montgomery , DEM Primary ,Dave Clegg,5
 19th Congressional District , Part of Montgomery , DEM Primary ,Blank,0
 19th Congressional District , Part of Montgomery , DEM Primary ,Void,0
 19th Congressional District , Part of Montgomery , DEM Primary ,Write-in,0
 19th Congressional District , Otsego , DEM Primary ,Brian Flynn,982
 19th Congressional District , Otsego , DEM Primary ,Erin Collier,285
 19th Congressional District , Otsego , DEM Primary ,Gareth Rhodes,212
 19th Congressional District , Otsego , DEM Primary ,Pat Ryan,313
 19th Congressional District , Otsego , DEM Primary ,Antonio Delgado,403
 19th Congressional District , Otsego , DEM Primary ,Jeff Beals,287
 19th Congressional District , Otsego , DEM Primary ,Dave Clegg,120
 19th Congressional District , Otsego , DEM Primary ,Blank,2
 19th Congressional District , Otsego , DEM Primary ,Void,0
 19th Congressional District , Otsego , DEM Primary ,Write-in,1
 19th Congressional District , Part of Rensselaer , DEM Primary ,Brian Flynn,156
 19th Congressional District , Part of Rensselaer , DEM Primary ,Erin Collier,157
 19th Congressional District , Part of Rensselaer , DEM Primary ,Gareth Rhodes,344
