ContestID,ContestName,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100001879,"26-197 CITY OF PORTLAND Renew Portland Children's Levy for five years.","","","City of Portland (JT)",87,,1,"Yes",6/11/2018 12:01:10 PM,1,118,0.746835443037975,92/92
100001879,"26-197 CITY OF PORTLAND Renew Portland Children's Levy for five years.","","","City of Portland (JT)",87,,2,"No",6/11/2018 12:01:10 PM,1,40,0.253164556962025,92/92
100001887,"34-282 City of Tualatin Authorizes General Obligation Bonds for Traffic Congestion and Safety Improvements","","","City of Tualatin (JT)",88,,1,"Yes",6/11/2018 12:01:10 PM,1,328,0.514913657770801,8/8
100001887,"34-282 City of Tualatin Authorizes General Obligation Bonds for Traffic Congestion and Safety Improvements","","","City of Tualatin (JT)",88,,2,"No",6/11/2018 12:01:10 PM,1,309,0.485086342229199,8/8
100036380,"US Representative, District 3 - Independent Party","IND","","US Congressional District 3",22,,9901,"Write-in",6/11/2018 12:01:10 PM,1,75,0.22189349112426,138/138
100036380,"US Representative, District 3 - Independent Party","IND","","US Congressional District 3",22,,100060605,"Marc W Koller",6/11/2018 12:01:10 PM,1,130,0.384615384615385,138/138
100036380,"US Representative, District 3 - Independent Party","IND","","US Congressional District 3",22,,100061845,"David W Walker",6/11/2018 12:01:10 PM,1,133,0.393491124260355,138/138
100036381,"US Representative, District 3 - Democrat","DEM","","US Congressional District 3",1,,9901,"Write-in",6/11/2018 12:01:10 PM,1,37,0.00493596584845251,138/138
100036381,"US Representative, District 3 - Democrat","DEM","","US Congressional District 3",1,,100060603,"Charles Rand Barnett",6/11/2018 12:01:10 PM,1,231,0.0308164354322305,138/138
100036381,"US Representative, District 3 - Democrat","DEM","","US Congressional District 3",1,,100060604,"Ben Lavine",6/11/2018 12:01:10 PM,1,608,0.0811099252934899,138/138
100036381,"US Representative, District 3 - Democrat","DEM","","US Congressional District 3",1,,100061495,"Eric Hafner",6/11/2018 12:01:10 PM,1,219,0.0292155816435432,138/138
100036381,"US Representative, District 3 - Democrat","DEM","","US Congressional District 3",1,,300024803,"Earl Blumenauer",6/11/2018 12:01:10 PM,1,6401,0.853922091782284,138/138
100036382,"US Representative, District 3 - Republican","REP","","US Congressional District 3",42,,9901,"Write-in",6/11/2018 12:01:10 PM,1,593,1,138/138
100036386,"US Representative, District 5 - Independent Party","IND","","US Congressional District 5",5,,9901,"Write-in",6/11/2018 12:01:10 PM,1,538,1,293/293
