ContestID,ContestName,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100036386,"US Representative, District 5 - Independent Party","IND","","US Congressional District 5",5,,9901,"Write-in",6/11/2018 12:02:03 PM,1,608,1,293/293
100036387,"US Representative, District 5 - Democrat","DEM","","US Congressional District 5",1,,9901,"Write-in",6/11/2018 12:02:03 PM,1,189,0.00854894155961643,293/293
100036387,"US Representative, District 5 - Democrat","DEM","","US Congressional District 5",1,,100061496,"Peter Wright",6/11/2018 12:02:03 PM,1,3059,0.138366202279718,293/293
100036387,"US Representative, District 5 - Democrat","DEM","","US Congressional District 5",1,,300025018,"Kurt Schrader",6/11/2018 12:02:03 PM,1,18860,0.853084856160666,293/293
100036388,"US Representative, District 5 - Republican","REP","","US Congressional District 5",9,,9901,"Write-in",6/11/2018 12:02:03 PM,1,179,0.00801863548806164,293/293
100036388,"US Representative, District 5 - Republican","REP","","US Congressional District 5",9,,100060612,"Mark Callahan",6/11/2018 12:02:03 PM,1,13547,0.60686287685347,293/293
100036388,"US Representative, District 5 - Republican","REP","","US Congressional District 5",9,,100060613,"Joey Nations",6/11/2018 12:02:03 PM,1,4721,0.211485911391838,293/293
100036388,"US Representative, District 5 - Republican","REP","","US Congressional District 5",9,,100060614,"Robert L Reynolds",6/11/2018 12:02:03 PM,1,3876,0.173632576266631,293/293
100036389,"Governor - Independent Party","IND","","Statewide Partisan",4,,9901,"Write-in",6/11/2018 12:02:03 PM,1,914,0.579214195183777,1302/1335
100036389,"Governor - Independent Party","IND","","Statewide Partisan",4,,100061547,"Dan (Mr P) Pistoresi",6/11/2018 12:02:03 PM,1,149,0.0944233206590621,1302/1335
100036389,"Governor - Independent Party","IND","","Statewide Partisan",4,,100061846,"Skye J Allen",6/11/2018 12:02:03 PM,1,158,0.100126742712294,1302/1335
