race,county,jurisdiction,party,candidate,votes
Governor,Anderson,statewide,Democratic,Karl Dean,2784
Governor,Anderson,statewide,Democratic,Craig Fitzhugh,756
Governor,Anderson,statewide,Democratic,Mezianne Vale Payne,269
Governor,Bedford,statewide,Democratic,Karl Dean,1589
Governor,Bedford,statewide,Democratic,Craig Fitzhugh,178
Governor,Bedford,statewide,Democratic,Mezianne Vale Payne,60
Governor,Benton,statewide,Democratic,Karl Dean,1130
Governor,Benton,statewide,Democratic,Craig Fitzhugh,148
Governor,Benton,statewide,Democratic,Mezianne Vale Payne,50
Governor,Bledsoe,statewide,Democratic,Karl Dean,527
Governor,Bledsoe,statewide,Democratic,Craig Fitzhugh,123
Governor,Bledsoe,statewide,Democratic,Mezianne Vale Payne,30
Governor,Blount,statewide,Democratic,Karl Dean,3098
Governor,Blount,statewide,Democratic,Craig Fitzhugh,860
Governor,Blount,statewide,Democratic,Mezianne Vale Payne,293
Governor,Bradley,statewide,Democratic,Karl Dean,1417
Governor,Bradley,statewide,Democratic,Craig Fitzhugh,347
Governor,Bradley,statewide,Democratic,Mezianne Vale Payne,200
Governor,Campbell,statewide,Democratic,Karl Dean,1241
Governor,Campbell,statewide,Democratic,Craig Fitzhugh,209
Governor,Campbell,statewide,Democratic,Mezianne Vale Payne,135
Governor,Cannon,statewide,Democratic,Karl Dean,707
Governor,Cannon,statewide,Democratic,Craig Fitzhugh,94
Governor,Cannon,statewide,Democratic,Mezianne Vale Payne,34
Governor,Carroll,statewide,Democratic,Karl Dean,872
Governor,Carroll,statewide,Democratic,Craig Fitzhugh,238
Governor,Carroll,statewide,Democratic,Mezianne Vale Payne,51
Governor,Carter,statewide,Democratic,Karl Dean,698
Governor,Carter,statewide,Democratic,Craig Fitzhugh,217
Governor,Carter,statewide,Democratic,Mezianne Vale Payne,83
Governor,Cheatham,statewide,Democratic,Karl Dean,1756
Governor,Cheatham,statewide,Democratic,Craig Fitzhugh,229
Governor,Cheatham,statewide,Democratic,Mezianne Vale Payne,29
Governor,Chester,statewide,Democratic,Karl Dean,361
Governor,Chester,statewide,Democratic,Craig Fitzhugh,120
Governor,Chester,statewide,Democratic,Mezianne Vale Payne,46
Governor,Claiborne,statewide,Democratic,Karl Dean,903
Governor,Claiborne,statewide,Democratic,Craig Fitzhugh,165
Governor,Claiborne,statewide,Democratic,Mezianne Vale Payne,88
Governor,Clay,statewide,Democratic,Karl Dean,570
Governor,Clay,statewide,Democratic,Craig Fitzhugh,32
Governor,Clay,statewide,Democratic,Mezianne Vale Payne,19
Governor,Cocke,statewide,Democratic,Karl Dean,430
Governor,Cocke,statewide,Democratic,Craig Fitzhugh,117
Governor,Cocke,statewide,Democratic,Mezianne Vale Payne,38
Governor,Coffee,statewide,Democratic,Karl Dean,2629
Governor,Coffee,statewide,Democratic,Craig Fitzhugh,269
Governor,Coffee,statewide,Democratic,Mezianne Vale Payne,147
Governor,Crockett,statewide,Democratic,Craig Fitzhugh,512
Governor,Crockett,statewide,Democratic,Karl Dean,136
Governor,Crockett,statewide,Democratic,Mezianne Vale Payne,21
Governor,Cumberland,statewide,Democratic,Karl Dean,1689
Governor,Cumberland,statewide,Democratic,Craig Fitzhugh,241
Governor,Cumberland,statewide,Democratic,Mezianne Vale Payne,120
Governor,Davidson,statewide,Democratic,Karl Dean,58951
Governor,Davidson,statewide,Democratic,Craig Fitzhugh,8669
Governor,Davidson,statewide,Democratic,Mezianne Vale Payne,1103
